Title,Authors,Price,Stars,Number of Reviews,Published Date,Country
Graph Machine Learning: Take graph data to the next level by applying machine learning techniques and algorithms  ,[],"398,(Brazilian Real)","4,1 de 5 estrelas",59.0,,Brazil
Intermediate Simple Machines: Levers (Home Use)  ,[],,,,,Brazil
Genetic Algorithms and Machine Learning for Programmers: Create AI Models and Evolve Solutions  ,[],"134,(Brazilian Real)","4,1 de 5 estrelas",32.0,,Brazil
Reinforcement Learning: 100 Interview Questions (Advanced Topics in Machine Learning Book 6) (English Edition)  ,[],"24,(Brazilian Real)",,,,Brazil
Data Mining: Practical Machine Learning Tools and Techniques  ,[],,"4,3 de 5 estrelas",115.0,,Brazil
"Hands-On Unsupervised Learning with Python: Implement machine learning and deep learning models using Scikit-Learn, TensorFlow, and more (English Edition)  ",[],"231,(Brazilian Real)","4,2 de 5 estrelas",7.0,,Brazil
Machine Learning Crash Course for Engineers (English Edition)  ,[],"257,(Brazilian Real)",,,,Brazil
"Python Machine Learning: Learn Python in a Week and Master It. An Hands-On Introduction to Artificial Intelligence Coding, a Project-Based Guide with Practical Exercises: 2  ",[],"148,(Brazilian Real)","4,0 de 5 estrelas",8.0,,Brazil
Machine Learning with LightGBM and Python: A practitioner's guide to developing production-ready machine learning systems  ,[],"433,(Brazilian Real)",,,,Brazil
Artificial Intelligence Programming with Python: From Zero to Hero  ,[],"336,(Brazilian Real)","4,2 de 5 estrelas",22.0,,Brazil
"Online Machine Learning: A Practical Guide with Examples in Python (Machine Learning: Foundations, Methodologies, and Applications) (English Edition)  ",[],"256,(Brazilian Real)",,,,Brazil
"Learning OpenCV 4 Computer Vision with Python 3: Get to grips with tools, techniques, and algorithms for computer vision and machine learning, 3rd Edition  ",[],"313,(Brazilian Real)","4,3 de 5 estrelas",95.0,,Brazil
Transfer Learning for Natural Processing  ,[],"337,(Brazilian Real)","4,7 de 5 estrelas",4.0,,Brazil
An Introduction to Machine Learning  ,[],"360,(Brazilian Real)",,,,Brazil
"My Journey Into Machine Learning Notebook (Model 3): Work Hard and Make it Happen: Customized 120 Page Lined 6"" x 9"", Notebook/Journal Gift, Matte finish  ",[],,,,,Brazil
Spectral Feature Selection for Data Mining (Chapman & Hall/CRC Data Mining and Knowledge Discovery Series) (English Edition)  ,[],"0,(Brazilian Real)","4,5 de 5 estrelas",32.0,,Brazil
The Hundred-Page Machine Learning Book en français (French Edition)  ,[],"246,(Brazilian Real)","4,6 de 5 estrelas",3.0,,Brazil
"Machine Learning, Animated (English Edition)  ",[],"503,(Brazilian Real)",,,,Brazil
Machine Learning and Big Data with Kdb+/Q  ,[],,"4,3 de 5 estrelas",22.0,,Brazil
Machine Learning - Regression and Classification (math Inc.): A complete Beginner to Advance level guide to Machine Learning. Hands-on Learning approach with in-depth math concepts (English Edition)  ,[],"0,(Brazilian Real)",,,,Brazil
Machine Learning: A Practical Approach on the Statistical Learning Theory  ,[],"534,(Brazilian Real)","4,6 de 5 estrelas",7.0,,Brazil
"Machine Learning: The Ultimate Guide to Machine Learning, Neural Networks and Deep Learning for Beginners Who Want to Understand Applications, Artificial ... Mining, Big Data and More (English Edition)  ",[],"23,(Brazilian Real)","4,0 de 5 estrelas",17.0,,Brazil
AI-POWERED PRODUCTIVITY: Machine Learning Magic: How To Train ChatGPT-4 To Be The Best Employee You've Never Paid For (LLM Books AI Book 2) (English Edition)  ,[],"0,(Brazilian Real)","5,0 de 5 estrelas",3.0,,Brazil
Machine Learning with Python: A Step by Step Guide to Learn Machine Learning with Python for Beginners (English Edition)  ,[],"0,(Brazilian Real)","3,6 de 5 estrelas",6.0,,Brazil
Modern Approaches in Machine Learning & Cognitive Science: A Walkthrough: Volume 4 (Studies in Computational Intelligence Book 1117) (English Edition)  ,[],"636,(Brazilian Real)",,,,Brazil
Learning Tensorflow.Js: Powerful Machine Learning in JavaScript  ,[],"255,(Brazilian Real)","4,6 de 5 estrelas",31.0,,Brazil
Machine Learning and Security: Protecting Systems with Data and Algorithms  ,[],"202,(Brazilian Real)","4,4 de 5 estrelas",36.0,,Brazil
Mathematical Aspects of Deep Learning  ,[],"650,(Brazilian Real)","3,5 de 5 estrelas",4.0,,Brazil
Deep Learning with R  ,[],"349,(Brazilian Real)","4,6 de 5 estrelas",105.0,,Brazil
Machine Learning in R for Everyone (English Edition)  ,[],"0,(Brazilian Real)",,,,Brazil
"Machine Learning: An Algorithmic Perspective: An Algorithmic Perspective, Second Edition  ",[],"604,(Brazilian Real)","4,2 de 5 estrelas",74.0,,Brazil
Machine Learning Bookcamp: Build a Portfolio of Real-Life Projects  ,[],"443,(Brazilian Real)","4,4 de 5 estrelas",19.0,,Brazil
"How To Become a Learning Machine: Quick Start Guide (""How To"" Books) (English Edition)  ",[],"0,(Brazilian Real)","2,7 de 5 estrelas",10.0,,Brazil
Python Machine Learning: Unlock deeper insights into Machine Leaning with this vital guide to cutting-edge predictive analytics  ,[],"365,(Brazilian Real)","4,2 de 5 estrelas",228.0,,Brazil
"Enhancing Deep Learning with Bayesian Inference: Create more powerful, robust deep learning systems with Bayesian deep learning in Python  ",[],"526,(Brazilian Real)","5,0 de 5 estrelas",1.0,,Brazil
"Machine Learning: Your Ultimate Guide on Machine Learning, Agile Project Management, and Hacking: A Three-Book Bundle  ",[],"38,(Brazilian Real)","2,6 de 5 estrelas",2.0,,Brazil
HTML & CSS: Learn The Fundamentals In 7 days (English Edition)  ,[],"12,(Brazilian Real)","3,8 de 5 estrelas",32.0,,Brazil
Metalearning: Applications to Automated Machine Learning and Data Mining (Cognitive Technologies) (English Edition)  ,[],"0,(Brazilian Real)","3,1 de 5 estrelas",7.0,,Brazil
Machine Learning: Book One of the Singularity Series (English Edition)  ,[],"0,(Brazilian Real)","5,0 de 5 estrelas",2.0,,Brazil
"Practical Machine Learning with Spark: Uncover Apache Spark’s Scalable Performance with High-Quality Algorithms Across NLP, Computer Vision and ML(English Edition)  ",[],"39,(Brazilian Real)","5,0 de 5 estrelas",2.0,,Brazil
An Introduction to Pattern Recognition and Machine Learning  ,[],"512,(Brazilian Real)",,,,Brazil
Probabilistic Graphical Models: Principles and Techniques  ,[],"683,(Brazilian Real)","4,5 de 5 estrelas",103.0,,Brazil
Fundamentals of Deep Learning: Designing Next-Generation Machine Intelligence Algorithms  ,[],"298,(Brazilian Real)","4,0 de 5 estrelas",86.0,,Brazil
Machine Learning Simplified: A Beginners' Guide To Revolution (English Edition)  ,[],"0,(Brazilian Real)","3,4 de 5 estrelas",8.0,,Brazil
MACHINE LEARNING (Int'l Ed) (College Ie Overruns)  ,[],"729,(Brazilian Real)","4,3 de 5 estrelas",79.0,,Brazil
Machine Learning With Python: An In-Depth Guide Beyond the Basics (English Edition)  ,[],"0,(Brazilian Real)","3,3 de 5 estrelas",8.0,,Brazil
Machine Learning Interview Questions and Answers (Become a ML Engineer Book 1) (English Edition)  ,[],"16,(Brazilian Real)","3,0 de 5 estrelas",3.0,,Brazil
Machine Learning: For Students and Professionals (English Edition)  ,[],"0,(Brazilian Real)",,,,Brazil
"Machine Learning: 2 Book in 1: The Ultimate Guide to Artificial Intelligence, Data Science and Deep Learning with Python  ",[],"51,(Brazilian Real)",,,,Brazil
"Machine Learning Mastery: From A to Z with Code : ""A to Z Machine Learning with Code: From Fundamentals to Advanced Concepts – A Hands-On Guide for Building Intelligent Systems"" (English Edition)  ",[],"5,(Brazilian Real)",,,,Brazil
"Power BI Machine Learning and OpenAI: Explore data through business intelligence, predictive analytics, and text generation  ",[],"437,(Brazilian Real)","5,0 de 5 estrelas",2.0,,Brazil
"Concepts in Action: Representation, Learning, and Application (Language, Cognition, and Mind Book 9) (English Edition)  ",[],"0,(Brazilian Real)","4,3 de 5 estrelas",9.0,,Brazil
Machine Learning for Auditors: Automating Fraud Investigations Through Artificial Intelligence  ,[],"292,(Brazilian Real)","3,0 de 5 estrelas",2.0,,Brazil
Intermediate Simple Machines: Inclined Planes  ,[],,,,,Brazil
"Advanced Computing, Machine Learning, Robotics and Internet Technologies: First International Conference, AMRIT 2023, Silchar, India, March 10–11, 2023, ... Science Book 1954) (English Edition)  ",[],"299,(Brazilian Real)",,,,Brazil
"Advanced Computing, Machine Learning, Robotics and Internet Technologies: First International Conference, AMRIT 2023, Silchar, India, March 10–11, 2023, ... Science Book 1953) (English Edition)  ",[],"299,(Brazilian Real)",,,,Brazil
Deep Learning for Natural Language Processing  ,[],"368,(Brazilian Real)","4,5 de 5 estrelas",2.0,,Brazil
That Book on AI and Machine Learning: A One-Hour Intro (English Edition)  ,[],"0,(Brazilian Real)","3,9 de 5 estrelas",4.0,,Brazil
Data Scientist Lined Notebook: Data Science Journal 120 Pages 6x9 Inch For Big Data Scientist Machine Learning  ,[],,,,,Brazil
"A Handbook of Mathematical Models with Python: Elevate your machine learning projects with NetworkX, PuLP, and linalg  ",[],"463,(Brazilian Real)",,,,Brazil
Predict Air Pollution Level using Machine Learning: Get Practical Hands-on Experience (Become a ML Engineer Book 4) (English Edition)  ,[],"1,(Brazilian Real)",,,,Brazil
"JUMPSTART YOUR MACHINE LEARNING JOURNEY: LEARN EFFORTLESSLY, EVEN WITH NO PRIOR EXPERIENCE: ACCELERATE YOUR CAREER IN DATA SCIENCE AND ARTIFICIAL INTELLIGENCE WITH MACHINE LEARNING (English Edition)  ",[],"0,(Brazilian Real)",,,,Brazil
Machine Learning with PySpark: With Natural Language Processing and Recommender Systems  ,[],"92,(Brazilian Real)","4,2 de 5 estrelas",16.0,,Brazil
Probabilistic Machine Learning for Finance and Investing: A Primer to Generative AI with Python  ,[],"474,(Brazilian Real)","4,0 de 5 estrelas",1.0,,Brazil
Machine Learning with Python: Comprehensive Guide of Tips and Tricks of using Machine Learning Theories with Python (English Edition)  ,[],"0,(Brazilian Real)","5,0 de 5 estrelas",7.0,,Brazil
"Neural Networks: Step-by-Step | Understand How Neural Networks Work, Starting With Simple Ideas (Machine Learning Book 1) (English Edition)  ",[],"11,(Brazilian Real)","4,2 de 5 estrelas",16.0,,Brazil
Lecture Notes for Machine Learning and Data Science Courses (English Edition)  ,[],"0,(Brazilian Real)",,,,Brazil
Artificial Intelligence in Finance: A Python-Based Guide  ,[],"378,(Brazilian Real)","4,3 de 5 estrelas",46.0,,Brazil
"Machine Learning for Beginners: A Comprehensive Guide to Mastering Algorithms, Data Science, and Artificial Intelligence (English Edition)  ",[],"0,(Brazilian Real)",,,,Brazil
10 Machine Learning Blueprints You Should Know for Cybersecurity: Protect your systems and boost your defenses with cutting-edge AI techniques  ,[],"436,(Brazilian Real)",,,,Brazil
"Quantitative Trading Strategies Using Python: Technical Analysis, Statistical Testing, and Machine Learning  ",[],,,,,Brazil
MATLAB Machine Learning Recipes: A Problem-Solution Approach (English Edition)  ,[],"227,(Brazilian Real)",,,,Brazil
How Smart Machines Think  ,[],"76,(Brazilian Real)","4,3 de 5 estrelas",71.0,,Brazil
Data Science on the Google Cloud Platform: Implementing End-to-End Real-Time Data Pipelines: From Ingest to Machine Learning  ,[],"367,(Brazilian Real)","4,3 de 5 estrelas",67.0,,Brazil
"My Journey Into Machine Learning Notebook (Model 2): Work Hard and Make it Happen: Customized 120 Page Lined 6"" x 9"", Notebook/Journal Gift, Matte Finish  ",[],,,,,Brazil
Causal Analysis: Impact Evaluation and Causal Machine Learning with Applications in R  ,[],"383,(Brazilian Real)","4,0 de 5 estrelas",2.0,,Brazil
"The Elements of Statistical Learning: Data Mining, Inference, and Prediction, Second Edition  ",[],"464,(Brazilian Real)","4,6 de 5 estrelas",1.126,,Brazil
Machine Learning: A Bayesian and Optimization Perspective  ,[],"592,(Brazilian Real)","4,4 de 5 estrelas",29.0,,Brazil
"Machine Learning: A Comprehensive, Step-by-Step Guide to Intermediate Concepts and Techniques in Machine Learning (English Edition)  ",[],"11,(Brazilian Real)","4,5 de 5 estrelas",2.0,,Brazil
"Data Science on AWS: Implementing End-To-End, Continuous AI and Machine Learning Pipelines  ",[],"362,(Brazilian Real)","4,5 de 5 estrelas",195.0,,Brazil
The Alignment Problem - Machine Learning and Human Values  ,[],,"4,6 de 5 estrelas",369.0,,Brazil
"PYTHON MACHINE LEARNING: The Ultimate Basic Guide For Beginners To Learn How To Design Types Of Automatic Production With Classification Algorithms, Create ... WITH PYTHON Book 1) (English Edition)  ",[],"0,(Brazilian Real)","3,1 de 5 estrelas",4.0,,Brazil
Machine Learning for Absolute Beginners: A Plain English Introduction (First Edition) (English Edition)  ,[],"18,(Brazilian Real)","4,2 de 5 estrelas",468.0,,Brazil
Supervised Machine Learning for Kids (Tinker Toddlers): STEAM Book to Kick-Start Your Future Genius! (English Edition)  ,[],"0,(Brazilian Real)","4,2 de 5 estrelas",19.0,,Brazil
Machine Learning for Engineers (English Edition)  ,[],"24,(Brazilian Real)","5,0 de 5 estrelas",1.0,,Brazil
"EBooks para crianças, máquina de leitura de voz firme para crianças, máquina de leitura de livros, desenvolvimento multisensorial, casa de bebê para crianças  ",[],"102,(Brazilian Real)",,,,Brazil
Fairness and Machine Learning: Limitations and Opportunities (Adaptive Computation and Machine Learning series) (English Edition)  ,[],"329,(Brazilian Real)",,,,Brazil
Machine Learning: The Definitive Guide. (3 Books in 1: Machine Learning for Beginners; Artificial Intelligence Business Applications; Artificial Intelligence and Machine Learning for Business)  ,[],"207,(Brazilian Real)","3,5 de 5 estrelas",2.0,,Brazil
"Learning with Kernels: Support Vector Machines, Regularization, Optimization, and Beyond  ",[],"747,(Brazilian Real)","4,5 de 5 estrelas",23.0,,Brazil
Machine Learning in Production: Master the art of delivering robust Machine Learning solutions with MLOps  ,[],"376,(Brazilian Real)","4,7 de 5 estrelas",4.0,,Brazil
"Beyond the Code: GPT Models, The Singularity, and Posthumanism (Through the AI Lens: The Futurism Files) (English Edition)  ",[],"24,(Brazilian Real)",,,,Brazil
Machine Learning: 4 Books in 1: Basic Concepts + Artificial Intelligence + Python Programming + Python Machine Learning. A Comprehensive Guide to Build Intelligent Systems Using Python Libraries  ,[],"143,(Brazilian Real)","4,2 de 5 estrelas",158.0,,Brazil
"Dilwe Chinese Learning Machine, Chinese Learning Machine Educational Chinese Speaking Tablet to Learn Pinyin for 3 Years Old and Up Kids  ",[],"111,(Brazilian Real)",,,,Brazil
"Nickelodeon Blaze and the Monster Machines ""Let's Blaze"" Jumbo Coloring and Activity Book  ",[],"209,(Brazilian Real)","4,6 de 5 estrelas",158.0,,Brazil
Machine Learning with Python: Advanced and Effective Strategies Using Machine Learning with Python Theories (English Edition)  ,[],"0,(Brazilian Real)","4,5 de 5 estrelas",2.0,,Brazil
Machine Learning Design Interview: Machine Learning System Design Interview (English Edition)  ,[],"184,(Brazilian Real)","3,2 de 5 estrelas",20.0,,Brazil
"Tnfeeon Arabic English Electroic Educational Book, Educational Arabic English Audio Book Interactive for Kindergarten for Baby  ",[],"159,(Brazilian Real)",,,,Brazil
The Hundred-Page Machine Learning Book in italiano (Italian Edition)  ,[],"254,(Brazilian Real)",,,,Brazil
Machine Learning with Python: The Basics (English Edition)  ,[],"0,(Brazilian Real)","3,8 de 5 estrelas",6.0,,Brazil
Pssopp Children Early Reading Machine Early Education Point Reading Machine Thai English Chinese Kid Reading Machine Children's eBook  ,[],"77,(Brazilian Real)",,,,Brazil
Graph Convolutional Neural Networks and Beyond: Exploring Advanced Techniques in Applied Machine Learning (AI & Machine Learning) (English Edition)  ,[],"0,(Brazilian Real)",,,,Brazil
"Python Machine Learning for Beginners: Learning from Scratch Numpy, Pandas, Matplotlib, Seaborn, SKlearn and TensorFlow 2.0 for Machine Learning & Deep ... Science for Beginners) (English Edition)  ",[],"24,(Brazilian Real)","4,4 de 5 estrelas",63.0,,Brazil
Python Machine Learning: The Ultimate Intermediate Guide to Learn Python Machine Learning Step by Step using Scikit-Learn and Tensorflow (Computer Programming) (English Edition)  ,[],"0,(Brazilian Real)","5,0 de 5 estrelas",1.0,,Brazil
Python Machine Learning for Beginners: Python Machine Learning Essentials. Build Your First AI Application (English Edition)  ,[],"0,(Brazilian Real)","4,0 de 5 estrelas",13.0,,Brazil
Machine Learning & Artificial Intelligence for Kids | Full eBook Collection (Tinker Toddlers): STEAM Baby for Infants and Toddlers (English Edition)  ,[],"0,(Brazilian Real)","4,8 de 5 estrelas",8.0,,Brazil
Machine Learning with Python: A Practical Beginner's Guide (English Edition)  ,[],"0,(Brazilian Real)",,,,Brazil
"UCreate Caderno de esboços Poly Cover, pesado, 15 x 23 cm, preto, 75 folhas  ",[],"70,(Brazilian Real)","4,7 de 5 estrelas",3.437,,Brazil
"Caixa Organizadora Vaultz Ccomhave(13,1 X 21,1 X 6,1Cm) Az, 803150, Azul  ",[],"96,(Brazilian Real)","4,7 de 5 estrelas",30.0,,Brazil
Top 100 Machine Learning Interview Questions: Interview Guide (English Edition)  ,[],"0,(Brazilian Real)",,,,Brazil
Machine Learning: Theoretical Foundations and Practical Applications (Studies in Big Data Book 87) (English Edition)  ,[],"638,(Brazilian Real)",,,,Brazil
Dinosaur Digger 2 - Truck Games for Kids toddlers  ,[],,"3,6 de 5 estrelas",554.0,24 dez. 2016,Brazil
"Shanrya Childrens Learning Machine, Interesting Childrens Reading Machine, Interactive Development Stimulation  ",[],"79,(Brazilian Real)",,,,Brazil
Dinosaur Farm - Tractor Games for kids toddlers  ,[],,"3,9 de 5 estrelas",556.0,22 jan. 2017,Brazil
Zerodis Children Reading Machine Interesting Kids Multifunction Learning Machine with Pen Chalk Eraser for Early Education (Blue)  ,[],"80,(Brazilian Real)",,,,Brazil
Machine Learning Algorithms: Handbook  ,[],"329,(Brazilian Real)",,,,Brazil
Intermediate Simple Machines: Inclined Planes (Home Use)  ,[],,,,,Brazil
"WEYI Chinese Learning Tablet, Chinese Learning Machine Rounded Corner Improve Interactive Logical Thinking for Kids Age 3 and Up for Birthday Gift  ",[],,,,,Brazil
Knitting lessons for beginners  ,[],,,,19 jul. 2019,Brazil
"LISND Educational Electronic Learning Book, Promote Body Sensory Arabic Learning Sound Book Guide Pronunciation for Daily Use for Kids  ",[],"105,(Brazilian Real)",,,,Brazil
Intermediate Simple Machines: Levers  ,[],,,,,Brazil
Learn How To Draw Weapons easily  ,[],,"2,8 de 5 estrelas",5.0,2 jul. 2019,Brazil
"Learning Sound Book, Electronic Sound Book Improve Ability Chinese English Burmese Audio Book with Pen for Daily Playing for Kids  ",[],"81,(Brazilian Real)",,,,Brazil
Applied Machine Learning and AI for Engineers: Solve Business Problems That Can't Be Solved Algorithmically  ,[],"341,(Brazilian Real)","4,7 de 5 estrelas",5.0,,Brazil
"Introduction to Machine Learning, Fourth Edition  ",[],"578,(Brazilian Real)","4,8 de 5 estrelas",68.0,,Brazil
Mathematical Aspects of Deep Learning  ,[],"663,(Brazilian Real)","3,5 de 5 estrelas",4.0,,Brazil
"Machine Learning with BigQuery ML: Create, execute, and improve machine learning models in BigQuery using standard SQL queries  ",['Alessandro Marrandino'],37.99(Pounds),4.5 out of 5 stars,2,11 Jun 2021,Germany
Exploring Mars (English Edition)  ,[],0.00(Pounds),,,19 Oct 2023,Germany
Machine Learning and AI in Finance  ,[],50.69(Pounds),,,25 Sept 2023,Germany
"Natural Language Processing with TensorFlow: The definitive NLP book to implement the most sought-after machine learning models and tasks, 2nd Edition  ",['Thushan Ganegedara'],30.99(Pounds),4.3 out of 5 stars,9,29 Jul 2022,Germany
"Machine Learning for Business Analytics: Concepts, Techniques, and Applications in R  ",['Galit Shmueli'],130.57(Pounds),5.0 out of 5 stars,1,8 Feb 2023,Germany
"Ethical Machines: Your Concise Guide to Totally Unbiased, Transparent, and Respectful AI  ","['Reid Blackman', 'Audio CD']",22.99(Pounds),4.3 out of 5 stars,50,12 Jul 2022,Germany
Deep Learning (The MIT Press Essential Knowledge series)  ,"['John D. Kelleher', 'Audio CD']",14.26(Pounds),4.5 out of 5 stars,351,16 Aug 2019,Germany
MACHINE LEARNING WITH PYTHON: A Comprehensive Beginners Guide to Learn the Realms of Machine Learning with Python  ,['Alexander Cane'],20.32(Pounds),3.7 out of 5 stars,22,26 Jul 2019,Germany
MOXIC Soft Geometric Living Room Rug Rectangle Kids Crawling Bedroom Fleece Non Slip Modern Home Decor Mats Indoor Outdoor Runners Kids Room Rug 18x33cm  ,[],117.69(Pounds),5.0 out of 5 stars,1,15 Oct 2022,Germany
Big Data and Machine Learning in Quantitative Investment (Wiley Finance Editions)  ,['Tony Guida'],44.99(Pounds),4.3 out of 5 stars,35,15 Feb 2019,Germany
"Practical Mathematics for AI and Deep Learning: A Concise yet In-Depth Guide on Fundamentals of Computer Vision, NLP, Complex Deep Neural Networks and Machine Learning (English Edition)  ",['Tamoghna Ghosh'],31.02(Pounds),3.6 out of 5 stars,5,30 Dec 2022,Germany
Mastering Classification Algorithms for Machine Learning: Learn how to apply Classification algorithms for effective Machine Learning solutions (English Edition)  ,['Partha Majumdar'],35.30(Pounds),5.0 out of 5 stars,1,23 May 2023,Germany
Mastering AI Programming: From Basics to Beyond #1: Building Intelligent Systems from Scratch: A Comprehensive Guide to AI Development (English Edition)  ,[],0.00(Pounds),,,18 Oct 2023,Germany
"Artificial Intelligence By Example: Acquire advanced AI, machine learning, and deep learning design skills, 2nd Edition  ",['Denis Rothman'],32.99(Pounds),4.2 out of 5 stars,17,28 Feb 2020,Germany
Deep Learning for Coders With Fastai and Pytorch: AI Applications Without a Phd  ,"['Jeremy Howard', 'Sylvain Gugger']",62.65(Pounds),4.7 out of 5 stars,470,11 Aug 2020,Germany
Machine Learning with Quantum Computers (Quantum Science and Technology)  ,[],116.25(Pounds),4.8 out of 5 stars,9,18 Nov 2021,Germany
MASTERING C# PROGRAMMING AND PYTHON MASTERY FOR INTERMEDIATE PROGRAMMERS: UNLEASHING THE POWER OF ADVANCED PYTHON TECHNIQUES AND AN IN-DEPTH GUIDE FOR ... CODERS - 2 BOOKS IN 1 (English Edition)  ,[],0.00(Pounds),,,17 Oct 2023,Germany
Quantum Machine Learning: Thinking and Exploration in Neural Network Models for Quantum Science and Quantum Computing (Quantum Science and Technology)  ,[],139.09(Pounds),,,10 Dec 2023,Germany
"Prompt Engineering Guide: 3 Books in 1 - ""Unlocking the Potential of AI Conversations: A Comprehensive Prompt Engineering Trilogy"" (English Edition)  ",[],0.00(Pounds),,,18 Oct 2023,Germany
Data Mesh Architecture: Achieving Excellence in Efficiency and Innovation (English Edition)  ,[],0.00(Pounds),,,19 Oct 2023,Germany
"Generative AI Development with Langchain: The Ultimate Guide for experts and Beginners, Unveiling the Latest in Deep Learning, Development, and Deployment ... to expert developer)) (English Edition)  ",[],7.56(Pounds),,,8 Oct 2023,Germany
Predictive Analytics : Forecasting Futures one data point at a time (Modern Quant Book 4) (English Edition)  ,[],0.00(Pounds),,,20 Oct 2023,Germany
Mastering Robotics Research: From Enthusiast To Expert (English Edition)  ,[],5.98(Pounds),,,19 Oct 2023,Germany
"Natural Language Understanding with Python: Combine natural language technology, deep learning, and large language models to create human-like language comprehension in computer systems  ",[],37.99(Pounds),5.0 out of 5 stars,1,30 Jun 2023,Germany
Fei-Fei Li : A Human-Centered Visionary for Artificial Intelligence (English Edition)  ,[],0.00(Pounds),,,18 Oct 2023,Germany
"AI Basics for Managers: A Comprehensive Guide for Managers to Implement, Measure, and Optimize AI in Business Operations Within the AI Revolution (AI Fundamentals) (English Edition)  ",[],0.00(Pounds),,,18 Oct 2023,Germany
Quantum Computing Impact: Unleashing the Power of Data for the Future (English Edition)  ,[],0.00(Pounds),,,19 Oct 2023,Germany
Database Management for Beginners: 3 in 1 Guide: Navigating the World of Data Storage and Organization (English Edition)  ,[],0.00(Pounds),,,18 Oct 2023,Germany
A primer guide on technology for beginners: Unlocking secret of technology (English Edition)  ,[],0.00(Pounds),,,18 Oct 2023,Germany
"OltreUmano: Per un'architettura del vivente (""Gli Strumenti"" direttore Antonino Saggio Vol. 10) (Italian Edition)  ",[],6.00(Pounds),,,19 Oct 2023,Germany
Machine Learning for Factor Investing: Python Version (Chapman and Hall/Crc Financial Mathematics)  ,['Guillaume Coqueret'],85.92(Pounds),2.0 out of 5 stars,1,8 Aug 2023,Germany
Architecting Data and Machine Learning Platforms: Enable Analytics and AI-Driven Innovation in the Cloud  ,['Marco Tranquillin'],56.99(Pounds),,,30 Jan 2024,Germany
Deep Learning with PyTorch Step-by-Step: A Beginner's Guide: Volume I: Fundamentals (English Edition)  ,['Daniel Voigt Godoy'],3.95(Pounds),4.6 out of 5 stars,37,22 Jan 2022,Germany
Machine Learning with Python for Beginners Book Series  ,[],,,,,Germany
Privacy-Preserving Machine Learning (SpringerBriefs on Cyber Security Systems and Networks)  ,[],33.82(Pounds),,,15 Mar 2022,Germany
Implementing Machine Learning for Finance: A Systematic Approach to Predictive Risk and Performance Analysis for Investment Portfolios  ,['Tshepo Chris Nokeri'],24.89(Pounds),3.0 out of 5 stars,1,27 May 2021,Germany
Praxisbuch Unsupervised Learning: Machine-Learning-Anwendungen für ungelabelte Daten mit Python programmieren (Animals)  ,['Ankur A. Patel'],39.90(Pounds),4.4 out of 5 stars,6,20 Apr 2020,Germany
"Generative Deep Learning: Teaching Machines to Paint, Write, Compose, and Play  ",['David Foster'],58.98(Pounds),4.5 out of 5 stars,206,8 Jul 2019,Germany
Google Cloud Certified Professional Machine Learning Engineer Study Guide  ,[],53.99(Pounds),,,29 Jan 2024,Germany
Foundations of Computer Vision (Adaptive Computation and Machine Learning series)  ,[],91.99(Pounds),,,20 Feb 2024,Germany
"Machine Learning for Civil and Environmental Engineers: A Practical Approach to Data-Driven Analysis, Explainability, and Causality  ",['M. Z. Naser'],73.19(Pounds),,,26 Oct 2023,Germany
Machine Learning with Neural Networks: An Introduction for Scientists and Engineers  ,['Bernhard Mehlig'],49.30(Pounds),4.0 out of 5 stars,2,30 Nov 2021,Germany
"Cloud Native AI and Machine Learning on AWS: Use SageMaker for building ML models, automate MLOps, and take advantage of numerous AWS AI services (English Edition)  ","['Premkumar Rangarajan', 'David Bounds']",29.95(Pounds),4.5 out of 5 stars,8,14 Feb 2023,Germany
"Machine Learning Security Principles: Keep data, networks, users, and applications safe from prying eyes  ",['John Paul Mueller'],35.99(Pounds),4.0 out of 5 stars,1,30 Dec 2022,Germany
Machine Learning: For Students and Professionals (English Edition)  ,[],0.00(Pounds),,,16 Oct 2023,Germany
Understanding Deep Learning  ,[],90.96(Pounds),,,5 Dec 2023,Germany
"Machine Learning For Absolute Beginners: A Plain English Introduction (AI, Data Science, Python & Statistics for Beginners, Band 3)  ",['Oliver Theobald'],16.(Pounds),4.4 out of 5 stars,"1,474",1 Jan 2018,Germany
"Mastering Machine Learning Algorithms: Expert techniques for implementing popular machine learning algorithms, fine-tuning your models, and understanding how they work, 2nd Edition  ",['Giuseppe Bonaccorso'],37.(Pounds),4.3 out of 5 stars,54,31 Jan 2020,Germany
Practical Simulations for Machine Learning: Using Synthetic Data for AI  ,[],51.(Pounds),5.0 out of 5 stars,4,28 Jun 2022,Germany
"Hands-on Machine Learning with Scikit-Learn, Keras, and TensorFlow: Concepts, Tools, and Techniques to Build Intelligent Systems  ",['Aurélien Géron'],67.(Pounds),4.8 out of 5 stars,"3,203",11 Oct 2019,Germany
Grundkurs Machine Learning: Aus der Buchreihe »Informatik verstehen«. Ideal zum Selbststudium  ,['Paul Wilmott'],29.(Pounds),4.1 out of 5 stars,25,28 Jul 2020,Germany
Advances in Financial Machine Learning  ,['Audio CD'],44.(Pounds),4.4 out of 5 stars,535,21 Feb 2018,Germany
"Machine Learning – kurz & gut: Eine Einführung mit Python, Sckit-Learn und TensorFlow  ",['Oliver Zeigermann'],14.(Pounds),4.4 out of 5 stars,29,22 Apr 2021,Germany
Machine Learning for High-Risk Applications: Techniques for Responsible AI  ,"['Patrick Hall', 'James Curtis']",53.(Pounds),5.0 out of 5 stars,5,23 May 2023,Germany
