Title,Authors,Price,Stars,Number of Reviews,Published Date,Country
"Beginner Machine Learning in Python + ChatGPT [2023]: Build a solid foundation in Machine Learning: Linear Regression, Logistic Regression and K-Means Clustering in Python  ",[],0.(AU Dollars),,,19 September 2023,Australia
Machine Learning with Python Cookbook  ,[],98.(AU Dollars),,,27 July 2023,Australia
Machine Learning in Production: Master the art of delivering robust Machine Learning solutions with MLOps (English Edition)  ,[],17.(AU Dollars),,,29 April 2023,Australia
AWS Certified Machine Learning Specialty: MLS-C01 Certification Guide: The definitive guide to passing the MLS-C01 exam on the very first attempt  ,[],93.(AU Dollars),,,19 March 2021,Australia
Machine Learning for High-Risk Applications  ,[],100.(AU Dollars),,,17 April 2023,Australia
"Machine Learning: The Ultimate Guide to Machine Learning, Neural Networks and Deep Learning for Beginners Who Want to Understand Applications, Artificial Intelligence, Data Mining, Big Data and More  ",[],8.(AU Dollars),,,5 October 2018,Australia
Machine Learning Book: The Basics Of Machine Learning And Artificial Intelligence  ,[],8.(AU Dollars),,,8 December 2022,Australia
"Learn Amazon SageMaker: A guide to building, training, and deploying machine learning models for developers and data scientists, 2nd Edition  ",[],87.(AU Dollars),,,26 November 2021,Australia
Computational Formalism: Art History and Machine Learning  ,[],84.(AU Dollars),,,20 June 2023,Australia
Machine Learning for Beginners: Build and deploy Machine Learning systems using Python - 2nd Edition  ,[],29.(AU Dollars),,,16 October 2023,Australia
Machine Learning for Cybersecurity Cookbook: Over 80 recipes on how to implement machine learning algorithms for building security systems using Python  ,[],50.(AU Dollars),,,25 November 2019,Australia
Machine Learning from Weak Supervision: An Empirical Risk Minimization Approach (Adaptive Computation and Machine Learning series)  ,[],48.(AU Dollars),,,23 August 2022,Australia
"Introduction to Machine Learning, fourth edition (Adaptive Computation and Machine Learning series)  ",[],125.(AU Dollars),,,24 March 2020,Australia
Machine Learning in Asset Pricing (Princeton Lectures in Finance Book 8)  ,[],60.(AU Dollars),,,11 May 2021,Australia
The Machine Learning Bible: [4 in 1] From Scikit-Learn to Pytorch and Everything in between to Build Smart Systems – Top Secret Tips and Tricks to Break ... Design Interview (Python Programming)  ,[],0.(AU Dollars),,,20 January 2020,Australia
Introduction to Machine Learning  ,[],,,,2021,Australia
"Machine Learning, revised and updated edition  ",[],17.(AU Dollars),,,16 November 2021,Australia
"Python Machine Learning: Machine Learning and Deep Learning with Python, scikit-learn, and TensorFlow 2, 3rd Edition  ",[],58.(AU Dollars),,,12 December 2019,Australia
Multimodal Biometric and Machine Learning Technologies: Applications for Computer Vision  ,[],302.(AU Dollars),,,18 October 2023,Australia
Deep Learning with Python  ,[],44.(AU Dollars),,,21 December 2021,Australia
Mathematics for Machine Learning  ,[],54.(AU Dollars),,,23 April 2020,Australia
Machine Learning: Make Your Own Recommender System (Machine Learning with Python for Beginners Book Series 3)  ,[],0.(AU Dollars),,,20 June 2018,Australia
Machine Learning System Design Interview  ,[],,,,28 January 2023,Australia
Machine Learning: 4 Books in 1: Basic Concepts + Artificial Intelligence + Python Programming + Python Machine Learning. A Comprehensive Guide to Build Intelligent Systems Using Python Libraries  ,[],0.(AU Dollars),,,29 March 2020,Australia
"Machine Learning Design Patterns: Solutions to Common Challenges in Data Preparation, Model Building, and MLOps  ",[],51.(AU Dollars),,,27 October 2020,Australia
Deep Learning  ,[],194.(AU Dollars),,,18 November 2016,Australia
Machine Learning for Kids: A Project-Based Introduction to Artificial Intelligence  ,[],33.(AU Dollars),,,30 March 2021,Australia
"Machine Learning Refined: Foundations, Algorithms, and Applications  ",[],81.(AU Dollars),,,9 January 2020,Australia
"Machine Learning for Beginners: Absolute Beginners Guide, Learn Machine Learning and Artificial Intelligence from Scratch (Python, Machine Learning Book 2)  ",[],0.(AU Dollars),,,31 December 2018,Australia
Building Machine Learning Pipelines: Automating Model Life Cycles with Tensorflow  ,[],68.(AU Dollars),,,28 July 2020,Australia
Machine Learning For Dummies  ,[],41.(AU Dollars),,,22 January 2021,Australia
Introduction to Machine Learning with Python: A Guide for Data Scientists  ,[],50.(AU Dollars),,,7 October 2016,Australia
Reliable Machine Learning: Applying SRE Principles to ML in Production  ,[],100.(AU Dollars),,,30 September 2022,Australia
Gaussian Processes for Machine Learning  ,[],94.(AU Dollars),,,23 November 2005,Australia
"Fundamentals of Machine Learning for Predictive Data Analytics, second edition: Algorithms, Worked Examples, and Case Studies  ",[],84.(AU Dollars),,,20 October 2020,Australia
Machine Learning: An Applied Mathematics Introduction  ,[],28.(AU Dollars),,,20 May 2019,Australia
Automated Machine Learning in Action  ,[],,,,7 June 2022,Australia
"Machine Learning: An Essential Guide to Machine Learning for Beginners Who Want to Understand Applications, Artificial Intelligence, Data Mining, Big Data and More  ",[],0.(AU Dollars),,,23 June 2018,Australia
Data Science and Machine Learning: Mathematical and Statistical Methods  ,[],151.(AU Dollars),,,22 November 2019,Australia
Understanding Machine Learning: From Theory to Algorithms  ,[],76.(AU Dollars),,,19 May 2014,Australia
Machine Learning with Amazon SageMaker Cookbook: 80 proven recipes for data scientists and developers to perform machine learning experiments and deployments  ,[],57.(AU Dollars),,,29 October 2021,Australia
"Natural Language Processing with Transformers, Revised Edition  ",[],51.(AU Dollars),,,26 May 2022,Australia
Lecture Notes for Machine Learning and Data Science Courses  ,[],0.(AU Dollars),,,25 September 2023,Australia
"Data Science: A Comprehensive Guide to Data Science, Data Analytics, Data Mining, Artificial Intelligence, Machine Learning, and Big Data  ",[],0.(AU Dollars),,,27 February 2020,Australia
"Machine Learning Security Principles: Keep data, networks, users, and applications safe from prying eyes  ",[],82.(AU Dollars),,,30 December 2022,Australia
MACHINE LEARNING AND BIG DATA HADOOP MADE SIMPLE - 2 BOOKS IN 1: A BEGINNER'S GUIDE TO PROGRAMMING  ,[],0.(AU Dollars),,,7 September 2023,Australia
3D Recording and Interpretation for Maritime Archaeology (Coastal Research Library Book 31)  ,[],0.(AU Dollars),,,6 March 2019,Australia
"Mastering Azure Machine Learning: Execute large-scale end-to-end machine learning with Azure, 2nd Edition  ",[],71.(AU Dollars),,,10 May 2022,Australia
"Machine Learning and Knowledge Discovery in Databases: Applied Data Science and Demo Track: European Conference, ECML PKDD 2023, Turin, Italy, September ... Notes in Computer Science Book 14175)  ",[],84.(AU Dollars),,,16 September 2023,Australia
"Machine Learning and Knowledge Discovery in Databases: Research Track: European Conference, ECML PKDD 2023, Turin, Italy, September 18–22, 2023, Proceedings, ... Notes in Computer Science Book 14173)  ",[],92.(AU Dollars),,,17 September 2023,Australia
Python Machine Learning for Beginners: Unlocking the Power of Data. A Beginner's Guide to Machine Learning with Python  ,[],0.(AU Dollars),,,11 August 2023,Australia
A Quick Guide to Card Games with Unity: Get Started with Card Games in less than 60 minutes  ,[],2.(AU Dollars),,,9 November 2017,Australia
Artificial Intelligence and Machine Learning: An Intelligent Perspective of Emerging Technologies (Innovations in Health Informatics and Healthcare)  ,[],66.(AU Dollars),,,7 December 2023,Australia
Neural Networks and Deep Learning: A Textbook  ,[],59.(AU Dollars),,,13 September 2018,Australia
Machine Learning with Microsoft Technologies: Selecting the Right Architecture and Tools for Your Project  ,[],41.(AU Dollars),,,13 June 2019,Australia
"Machine Learning: The Most Complete Guide for Beginners to Mastering Deep Learning, Artificial Intelligence and Data Science with Python. This Book Includes: Python Machine Learning and Data Science.  ",[],,,,14 November 2020,Australia
Machine Learning: a Concise Introduction (Wiley Series in Probability and Statistics Book 285)  ,[],162.(AU Dollars),,,15 March 2018,Australia
Financial Modeling Using Quantum Computing: Design and manage quantum machine learning solutions for financial analysis and decision making  ,[],39.(AU Dollars),,,31 May 2023,Australia
Artificial Intelligence and Machine Learning in Project Management: A New Era of Transformation: Transforming Project Execution: Harnessing AI and ML to Revolutionize the Way We Manage Projects  ,[],0.(AU Dollars),,,10 April 2023,Australia
Python: Advanced Guide to Artificial Intelligence: Expert machine learning systems and intelligent agents using Python  ,[],105.(AU Dollars),,,21 December 2018,Australia
How to Start a Blog Today: A Free Step-by-Step Beginner’s Guide to Create a Blog in 20 minutes  ,[],0.(AU Dollars),,,20 August 2017,Australia
Machine Learning: Step-by-Step Guide To Implement Machine Learning Algorithms with Python (Artificial Intelligence Book 2)  ,[],0.(AU Dollars),,,21 May 2018,Australia
Statistically Sound Machine Learning for Automated Trading of Financial Instruments: Developing Predictive-Model Based Trading Systems Using TSSB  ,[],0.(AU Dollars),,,21 March 2017,Australia
"Python Machine Learning: Machine Learning and Deep Learning with Python, scikit-learn and Tensorflow (Step-by-Step Tutorial For Beginners Book 1)  ",[],0.(AU Dollars),,,18 April 2019,Australia
"Machine Learning Survival Models for Economics Analysis: Inventory, Evaluation Metrics, and Empirical Analysis  ",[],94.(AU Dollars),,,17 October 2023,Australia
"Machine Learning: This book includes Machine Learning for Beginners,Artificial Intelligence and Machine Learning for business, Networking for beginners  ",[],57.(AU Dollars),,,21 August 2019,Australia
MACHINE LEARNING  ,[],,,,23 May 2023,Australia
Machine Learning on Kubernetes: A practical handbook for building and using a complete open source machine learning platform on Kubernetes  ,[],84.(AU Dollars),,,24 June 2022,Australia
Combating Women's Health Issues with Machine Learning: Challenges and Solutions (Biomedical and Robotics Healthcare)  ,[],76.(AU Dollars),,,23 October 2023,Australia
MACHINE LEARNING TECHNIQUES. APPRENTISSAGE SUPERVISÉ AVEC R (French Edition)  ,[],72.(AU Dollars),,,15 October 2022,Australia
The Hitchhiker's Guide to Machine Learning Algorithms: 100+ Machine Learning Algorithms Explained So Simply Even a Human Can Understand (The Hitchhiker's Guide to Success)  ,[],0.(AU Dollars),,,25 July 2023,Australia
MACHINE LEARNING TECNICHE. APPRENDIMENTO SUPERVISIONATO CON R (Italian Edition)  ,[],72.(AU Dollars),,,15 October 2022,Australia
Human-Machine Learning: Using Feedback to Design Systems That Serve Humanity  ,[],60.(AU Dollars),,,19 October 2023,Australia
Basics of machine learning  ,[],0.(AU Dollars),,,7 August 2022,Australia
Graph-Powered Machine Learning  ,[],121.(AU Dollars),,,14 September 2023,Australia
"Bots & Bytes: An Introduction to Artificial Intelligence, ChatGPT, and Machine Learning  ",[],0.(AU Dollars),,,16 September 2023,Australia
Machine Learning in Trading: Step by step implementation of Machine Learning models  ,[],0.(AU Dollars),,,29 September 2021,Australia
Machine Learning Pocket Reference: Working with Structured Data in Python  ,[],31.(AU Dollars),,,10 September 2019,Australia
